Rainbow Valley,"Action, Romance, Western",Rainbow Valley needs a new road and newcomer John Martin agrees to build it. Rogers is out to stop it and alters the town's petition to the Governor thereby obtaining the release of his boss Butch Galt. John and Butch were cell mates in prison. So Butch gets John to agree to wreck the road and furnishes him with dynamite. But dynamite is just what John needs to finish the work and he hopes to take care of Butch's gang at the same time.
The Charge of the Light Brigade,"Action, Adventure, Romance, War","Major Vickers is an officer at the 27th Lancers in India 1856. When the regiment is on maneuver, the barracks are attacked by Surat Khan and his soldiers who massacre British women and children. This leaves an inextinguishable memory and Vickers promises to revenge the dead."
Dick Tracy,"Action, Comedy, Crime, Music, Romance, Thriller","All Tess Trueheart wants is to settle down to a quiet life with her boyfriend, detective Dick Tracy. But there's something pretty rotten going on in town, with someone pretty rotten behind it, and Tracy has his hands full with the likes of villain Big Boy Caprice and with the almost irresistible Breathless Mahoney."
In Old Chicago,"Action, Drama, Musical, Romance","Story of the great fire of 1871. Fictional story of two sons of Mrs. O'Leary (the owner of the cow which started the fire), one a rogue (Power) the other a lawyer (Ameche). One of the most expensive films of its time ($1.8 million)."
The Adventures of Robin Hood,"Action, Adventure, Romance","Sir Robin of Locksley, defender of downtrodden Saxons, runs afoul of Norman authority and is forced to turn outlaw. With his band of Merry Men, he robs from the rich, gives to the poor and still has time to woo the lovely Maid Marian, and foil the cruel Sir Guy of Gisbourne, and keep the nefarious Prince John off the throne."
title,genre,plot
Tarzan the Ape Man,"Action, Adventure, Romance","James Parker and Harry Holt are on an expedition in Africa in search of the elephant burial grounds that will provide enough ivory to make them rich. Parker's beautiful young daughter Jane arrives unexpectedly to join them. Harry is obviously attracted to Jane and he does his best to help protect her from all the dangers that they experience in the jungle. Jane is terrified when Tarzan and his ape friends first abduct her, but when she returns to her father's expedition she has second thoughts about leaving Tarzan. After the expedition is captured by a tribe of violent dwarfs, Jane sends Cheetah to bring Tarzan to rescue them..."
Three on a Match,"Crime, Drama, Romance","Three women who were childhood schoolmates take different paths in life. Vivian marries a very wealthy lawyer and has an adorable boy. Mary, on the other hand, takes the hard road through reform school. After a superstitious faux pas, Vivian's luck turns. She strays from her steadfast husband to a life of debauchery and alcoholism. Meanwhile, Mary turns her life around and not only wins the heart of Vivian's ex-husband, but also becomes a loving step-mother to Vivian's only child. Then Vivian's worthless boyfriend makes a desperate move."
Tiger Shark,"Drama, Romance",Mike is a great tuna fisherman though he lost a hand to a shark years earlier saving Pipes Boley. Now Mike is happily married to Quita and doesn't notice that Pipes and Quita are falling for each other.
Trouble in Paradise,"Comedy, Crime, Romance","High class European thief Gaston Monescu meets his soul mate Lily, a pickpocket masquerading as a countess. The two join forces and come under the employ of Mme. Colet, the beautiful owner of the Colet perfume company. Gaston works as Mme. Colet's personal secretary under the alias Monsieur La Valle. Rumors start to fly as 'M. La Valle' steals Mme. Colet away from her other suitors. When the secret of his true identity catches up to him, Gaston is caught between the two beautiful women."
Union Depot,"Comedy, Drama, Romance","Among the travelers of varied backgrounds that meet and interact on one night at Union Depot, a metropolitan train station, are Chick and his friend Scrap Iron, both newly released from prison after serving time for vagrancy. Hungry and desperate for a break, Chick fortuitously comes across across a valise abandoned by a drunken traveler. In it he finds a shaving kit and a suit of clothes with a bankroll, which help transform the affable tramp into a dashing gent. After buying himself a meal, Chick seeks some female companionship among the many hustlers who walk the station. He propositions Ruth Collins, a stranded, out-of-work showgirl and takes her to the station's hotel. However, he quickly realizes she's not a streetwalker but another hard luck victim of the Depression. Touched by the Ruth's sincerity, he vows to help her buy a ticket to Salt Lake City, where a job awaits her. Scrap Iron is lucky too, stumbling across a wallet with a claim check discarded by a pickpocket. When Chick claims the violin case, he finds it filled with cash, unbeknownst to him, counterfeit. As he buys Ruth a new dress and train ticket, the real counterfeiter and secret servicemen begin closing in on them."
Virtue,"Crime, Drama, Romance","A relationship gradually develops between a savvy New York street girl and a good-hearted cab driver, but other matters keep getting in their way, including financial problems and a murder."
West of Broadway,"Drama, Romance, War","Jerry Seevers returns from World War I service broken in health and his doctor tells him he has only six months to live. His fiancée jilts him and he sets out to drink himself to death. In one of his binges he wakes up to find himself married to what the assumes is a gold-digger after his money. He leaves her and goes to a ranch in Arizona and get rid of his new bride, who is really in love with him. He sets up divorce proceedings and then realizes he actually loves her."
Ann Vickers,"Drama, Romance","During WWI, Ann Vickers, a humanitarian who is just starting the adult phase of her life, wants to make a difference in the world - using her friend Dr. Malvina Wormser as a role model - but she also wants a fulfilling personal life. She isn't sure if she can accomplish both at the same time. So after a failed relationship with soldier Captain Lafe Resnick which includes a deeper personal tragedy for her, Ann decides instead to focus solely on her career. With a background in nursing and social work, she decides the area of her work will be in prison reform. Her lofty goals do not sit well with many of the male traditionalists in the field, they who may stop her from accomplishing what she wants, at her own personal reputation at risk. Although she has a multitude of wannabe suitors, it isn't until she meets Supreme Court judge Barney Dolphin that she contemplates having that fulfilling personal life at the same time as having a career. But the road to a possible happy ending for Ann and Barney will be a difficult one as he is already married (although he has long wanted a divorce, even before meeting Ann) and as he goes through a career threatening issue which may tarnish his good name."
Baby Face,"Drama, Romance","A young woman, sexually exploited all her life, decides to turn the tables and exploit the hapless men at a big city bank - by gleefully sleeping her way to the top."
Bed of Roses,"Drama, Romance","Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window."
The Bitter Tea of General Yen,"Drama, Romance, War","The American missionary Megan Davis arrives in Shanghai during the Chinese Civil War to marry the missionary Dr. Robert Strife. However, Robert postpones their wedding to rescue some orphans in an orphanage in Chapei section that is burning in the middle of a battlefield. While returning to Shanghai with the children, they are separated in the crowd, Megan is hit in the head and knocked out, but is saved by General Yen and brought by train to his palace. As the days go by, the General's mistress Mah-Li becomes close to Megan and when she is accused of betrayal for giving classified information to the enemies, Megan asks for her life. The cruel General Yen falls in love for the naive and pure Megan and accepts her request to spare the life of Mah-Li against the will of his financial advisor Jones. Meanwhile Megan feels attracted by the powerful and gentle General Yen, but resists to his flirtation. When Mah-Li betrays General Yen and destroys his empire, Megan realizes that to be able to do good works, one has to have wisdom and decides to stay with him while the General drinks his bitter last tea."
Bombshell,"Comedy, Drama, Romance","Lola Burns is at the top of the pile in Hollywood. But life ain't easy, what with her father and brother always hanging around for handouts, and devious studio publicity honcho Space Hanlon cooking up endless lurid newspaper stories. Makes a girl want to give up pictures."
Cavalcade,"Drama, Romance, War","A cavalcade of English life from New Year's Eve 1899 until 1933 seen through the eyes of well-to-do Londoners Jane and Robert Marryot. Amongst events touching their family are the Boer War, the death of Queen Victoria, the sinking of the Titanic and the Great War."
Christopher Strong,"Drama, Romance","At a party for Bright Young Things, a ""treasure hunt"" for attractive yet virtuous people nets Sir Christopher Strong, M.P., and Lady Cynthia Darrington, dashing aviatrix. Their acquaintance is innocent at first; but after he sees her in a spectacular silver moth costume, virtue begins to wane. Against their wills, they are drawn into an affair whose consequences threaten Strong's happy marriage and both their careers."
Dancing Lady,"Comedy, Musical, Romance","Janie lives to dance and will dance anywhere, even stripping in a burlesque house. Tod Newton, the rich playboy, discovers her there and helps her get a job in a real Broadway musical being directed by Patch. Tod thinks he can get what he wants from Janie, Patch thinks Janie is using her charms rather than talent to get to the top, and Janie thinks Patch is the greatest. Steve, the stage manager, has the Three Stooges helping him manage all the show girls. Fred Astaire and Nelson Eddy make appearances as famous Broadway personalities."
Design for Living,"Comedy, Romance","Two Americans sharing a flat in Paris, playwright Tom Chambers and painter George Curtis, fall for free-spirited Gilda Farrell. When she can't make up her mind which one of them she prefers, she proposes a ""gentleman's agreement"": She will move in with them as a friend and critic of their work, but they will never have sex. But when Tom goes to London to supervise a production of one of his plays, leaving Gilda alone with George, how long will their gentleman's agreement last?"
We're Not Married!,"Comedy, Romance","A Justice of the Peace performed weddings a few days before his license was valid. A few years later five couples learn they have never been legally married. Annabel Norris, already Mrs. Mississippi and ready to enter the Mrs. America contest, is now free to enter the Miss Mississippi contest."
The Eagle and the Hawk,"Action, Drama, War",The pilots of a Royal Air Force squadron in World War I face not only physical but mental dangers in their struggle to survive while fighting the enemy.
Employees' Entrance,"Drama, Romance","Kurt Anderson is the tyrannical manager of a New York department store in financial straits. He thinks nothing of firing an employee of more than 20 years or of toying with the affections of every woman he meets. One such victim is Madeline, a beautiful young woman in need of a job. Anderson hires her as a salesgirl, but not before the two spend the night together. Madeline is ashamed, especially after she falls for Martin West, a rising young star at the store. Her biggest fear is that Martin finds out the truth about her ""career move."""
Ever in My Heart,"Drama, Romance, War","In 1909 Mary Archer, daughter of small-town bluebloods, awaits the return from Germany of sometime beau Jeff. But Jeff brings with him a German friend, Hugo Wilbrandt, who loves and marries Mary. Hugo joins the faculty of a small college and the Wilbrandts prosper...until the advent of World War I brings a storm of anti-German hatred. Resulting troubles so embitter Hugo that he regrets his American citizenship..."
Female,"Comedy, Drama, Romance","Alison is owner and successful manager of an automobile factory. She also has a good relation to her employees - especially the male ones, which she is known to invite to her bed for some time and then dump quickly. Only the inventor Jim Thorne refuses her offers - will she fire or marry him?"
Flying Down to Rio,"Comedy, Musical, Romance","Aviator and band leader Roger Bond is forever getting his group fired for flirting with the lady guests. When he falls for Brazilian beauty Belinha de Rezende it appears to be for real, even though she is already engaged. His Yankee Clippers band is hired to open the new Hotel Atlântico in Rio and Roger offers to fly Belinha part way home. After a mechanical breakdown and forced landing, Roger is confident and makes his move, but Belinha plays hard to get. She can't seem to decide between Roger and her fiance Júlio. When performing the airborne production number to mark the Hotel's opening, Júlio gets some intriguing ideas..."
Footlight Parade,"Comedy, Musical, Romance","Chester Kent produces musical comedies on the stage. With the beginning of the talkies era he changes to producing short musical prologues for movies. This is stressful to him, because he always needs new units and his rival is stealing his ideas. He can get an contract with a producer if he is able to stage in three days three new prologues. In spite of great problems, he does it."
42nd Street,"Comedy, Musical, Romance","Renowned Broadway producer/director Julian Marsh is hired to put together a new musical revue. It's being financed by Abner Dillon to provide a starring vehicle for his girlfriend, songstress Dorothy Brock. Marsh, who is quite ill, is a difficult task master working long hours and continually pushing the cast to do better. When Brock breaks her ankle one of the chorus girls, Peggy Sawyer, gets her big chance to be the star. She also finds romance along the way."
Gabriel Over the White House,"Drama, Fantasy, Romance",A political hack becomes President during the height of the Depression and undergoes a metamorphosis into an incorruptible statesman after a near-fatal accident.
Paid to Love,"Comedy, Romance","An American banker goes to a small Balkan country looking to invest his bank's money and shore up the country's weak economy in order to maximize the return on their investment. Towards that end he befriends the country's king and they come up with a scheme to get the Crown Prince married, a prospect not particularly appealing to the Crown Prince--until he sees the beautiful cabaret dancer the pair has picked for him to marry."
Going Hollywood,"Musical, Romance","Sylvia is the French teacher at Briarcroft's School for Girls, but she wants to find romance. When she hears Bill on the radio, she decides to leave and thank him. But he is on his way to Hollywood with Lili to make a movie. When Sylvia gets to Hollywood, she finds that seeing Bill again is almost impossible, but she gets a job in the chorus. Then when Lili quits the picture, Sylvia is tapped to play her character. But the part she wants is with Bill, a part that Lili seems to have."
Happy-Go-Lucky,"Comedy, Drama, Romance","Poppy Cross is happy-go-lucky. At 30, she lives in Camden: cheeky, playful, frank while funny, and talkative to strangers. She's a conscientious and exuberant primary-school teacher, flatmates with Zoe, her long-time friend; she's close to one sister, and not so close to another. In this slice of life story, we watch her take driving lessons from Scott, a dour and tightly-wound instructor, take classes in flamenco dance from a fiery Spaniard, encounter a tramp in the night, and sort out a student's aggressive behavior with a social worker's help. Along the way, we wonder if her open attitude puts her at risk of misunderstanding or worse. What is the root of happiness?"
Hard to Handle,"Comedy, Romance","Small time con artist Lefty Merrill has co-organized a crooked dance marathon and set-up his girlfriend to win the prize money. When his partner disappears with money before the contest is over, he's forced to come up with a series of cons to help pay it back."
His Private Secretary,"Comedy, Romance","Dick Wallace is a free-wheeling playboy adverse to working in his workaholic father's office and resisting his advice about the evils of wine, women, and song. He accidentally meets, falls in love with, and elopes with Marion Hall, a respectable, attractive ministers's granddaughter he meets at a gas station but his father assumes she's a gold-digger. When she comes to the senior Wallace's office, he hires her as his secretary and continue to resist young Dick's request that he meet his new wife, a situation that results in some awkward and amusing complications."
Hold Your Man,"Drama, Romance","Eddie Hall and his partner Slim are a pair of nickel-and-dime con men on the hustle. Nearly caught by the police, Eddie ducks into Ruby Adams's apartment and convinces her to hide him. Ruby isn't averse to taking advantage of the gullible herself and has even tried to manipulate money out of Al, the square shooter from Cincinnati who adores her. Ruby and Eddie hit it off, but when Eddie accidentally kills a drunk who was pawing Ruby, he takes off and she ends up in a women's reformatory, where she discovers she is pregnant. Devastated at the thought that Eddie has deserted her, she doesn't realize that Eddie has undergone a great change--one that will have a powerful impact on her."
He Was Her Man,"Crime, Drama, Romance","Dan Curly sends two hitmen to kill double-crossing Flicker Hayes, who retreats to a small village with ex-prostitute Rose to hide."
I'm No Angel,"Comedy, Musical, Romance","The bold Tira works as dancing beauty and lion tamer at a fair. Out of an urgent need of money, she agrees to a risky new number: she'll put her head into a lion's muzzle! With this attraction the circus makes it to New York and Tira can persue her dearest occupation: flirting with rich men and accepting expensive presents. Among the guys she searches the love of her life, from whom she only knows from a fortune-teller that he'll be rich and have black hair. When she finally meets him, she becomes a victim of intrigue."
King Kong,"Action, Adventure, Drama, Romance","Carl Denham needs to finish his movie and has the perfect location; Skull Island. But he still needs to find a leading lady. This 'soon-to-be-unfortunate' soul is Ann Darrow. No one knows what they will encounter on this island and why it is so mysterious, but once they reach it, they will soon find out. Living on this hidden island is a giant gorilla and this beast now has Ann is its grasps. Carl and Ann's new love, Jack Driscoll must travel through the jungle looking for Kong and Ann, whilst avoiding all sorts of creatures and beasts. But Carl has another plan in mind."
The Beast,"Drama, Fantasy, Horror, Romance","Under the condition that within six months from the death of the accomplished businessman Philip Broadhurst, his beloved daughter and heiress to his immense fortune Lucy gets married to Marquis Pierre de l'Esperance's son Mathurin, innocent fair Lucy heads with her aunt to the crumbling estate of her soon-to-be husband. But the once noble estate is nestled deep in the French dense woods, where centuries ago, a wild and ravenous supernatural beast roamed the very forests driven by a raw and unquenchable lust for virginal unprotected girls. Before long, young Lucy completely unaware of the menacing legend and the strange rumours that cloud the family's name will begin experiencing appalling, yet sensually charged visions of an unprecedented vividness. Is there a bit of truth in the legend of the Beast of Gévaudan?"
King Kong,"Action, Adventure, Drama, Romance","Carl Denham needs to finish his movie and has the perfect location; Skull Island. But he still needs to find a leading lady. This 'soon-to-be-unfortunate' soul is Ann Darrow. No one knows what they will encounter on this island and why it is so mysterious, but once they reach it, they will soon find out. Living on this hidden island is a giant gorilla and this beast now has Ann is its grasps. Carl and Ann's new love, Jack Driscoll must travel through the jungle looking for Kong and Ann, whilst avoiding all sorts of creatures and beasts. But Carl has another plan in mind."
Ladies They Talk About,"Crime, Drama, Romance","Attractive Nan, member of a bank-robbery gang, goes to prison thanks to evangelist Dave Slade...who loves her."
The Little Giant,"Comedy, Crime, Romance",Prohibition is ending so bootlegger Bugs Ahearn decides to crack California society. He leases a house from down-on-her-luck Ruth and hires her as social secretary. He rescues Polly Cass from a horsefall and goes home to meet her dad who sells him some phony stock certificates. When he learns about this he sends to Chicago for mob help.
Little Women,"Drama, Family, Romance","Louisa May Alcott's autobiographical account of her life with her three sisters in Concord, Massachusetts in the 1860s. With their father fighting in the American Civil War, sisters Jo, Meg, Amy and Beth are at home with their mother, a very outspoken women for her time. The story tells of how the sisters grow up, find love and find their place in the world."
Man's Castle,"Drama, Romance","12 million Americans are out of work. Trina is homeless and hungry when Bill takes her under his wing, showing her a squatter's camp where she can live. She's soon in love with him, making a castle for him inside a shack; but he's bluff, gruff, and a ""bindlestiff,"" a guy who can't stay put. When Trina tells Bill she's pregnant, he's ready to jump a freight train and move on, but first he wants to leave Trina with some money, so he partners up with Bragg, the camp's louse (who's been eyeing Trina), to rob a toy manufacturer. He's shot and the cops are closing in: does he have any options?"
The Mayor of Hell,"Crime, Drama, Romance","Five members of a teen-age gang, including leader Jimmy Smith, are sent to the State Reformatory, presided over by the melodramatically callous Thompson. Soon, Patsy Gargan, a former gangster appointed Deputy Commissioner as a political favor, arrives complete with hip flask and blonde. Gargan falls for activist nurse Dorothy and, inspired by her, takes over the administration to run the place on radical principles. But Thompson, to conceal his years of graft, needs a quick way to discredit Gargan..."
Midnight Mary,"Crime, Drama, Romance","A young woman is on trial for murder. In flashback, we learn of her struggles to overcome poverty as a teenager -- a mistaken arrest and prison term for shoplifting and lack of employment lead to involvement with gangsters. In a brothel, she meets a young lawyer, scion of a wealthy and prestigious family, who falls for her and helps her turn around her life. But her past catches up with her, and she must face the music rather than cause him scandal."
Morning Glory,"Comedy, Drama, Romance","Becky (Rachel McAdams) is a hard-working morning TV show producer, or at least she was until she got fired. Desperate to get a job, she finally gets an interview with Jerry (Jeff Goldblum) - who is desperate to hire a producer for the struggling show ""Daybreak"". Becky accepts the job and it proves to be more difficult than even she might be able to handle. She has to fire the sexist co-host, then try to convince egotistical news reporter, Mike Pomeroy (Harrison Ford), to take the job, and then try and get him to actually do the job, properly. And she has to do this while falling for handsome Adam (Patrick Wilson), and trying to save the show from plummeting ratings. Will Becky be able to hold on to her dream job and her sanity?"
One Sunday Afternoon,"Comedy, Romance","Hugo and Biff were friends until they met Virginia. Biff could think of no one but Virginia, but she would never be happy with a big slow bully. So she married Hugo and Biff married Amy just because his Virginia got married. Amy loves Biff, but Biff constantly thinks of Virginia even after Hugo takes his job and has him put into prison for two years."
Our Betters,"Comedy, Drama, Romance","American heiress Pearl Saunders marries Lord George Grayston but later sees him embracing his lover on their wedding day. She has his title and he has her money; thereafter they are rarely seen together. Pearl is accepted by the British aristocracy and is presented at court, but creates a scandal by wearing black. She encourages her younger sister, Bessie, who idolizes her, to respond to the attentions of Lord Harry Bleane despite Bessie preferring American Fleming Harvey. Pearl gives a weekend party at the Grayston estate inviting close friends, including her lover, Arthur Fenwick; her friend, Duchess Minnie and Minnie's gigolo companion, Pepi D'Costa; as well as Bessie, Lord Bleane and Harvey. Pepi, who had been meeting Pearl on the sly, discretely suggests a rendezvous with her in the new teahouse on the property. Both make some pretext to leave but are seen by Minnie entering the teahouse. Vindictive Minnie pretends to have left her purse in the teahouse and sends Bessie to fetch it. Bessie finds the door locked but peeks through the window and is shocked by what she sees. Minnie, Fenwick, and Bessie are outraged at the lovers' ill-advised meeting, but Pearl sets out to assuage their anger."
Peg o' My Heart,"Drama, Romance","Peg and her father live a simple life in an Irish fishing village. One day Sir Gerald arrives at the village to tell Pat that Peg is heir to estate of her grandfather, who hated Pat. The upshot of the will is that she must go to England for 3 years to learn to be a lady and that Pat can never see her again. Pat does not tell Peg about his part of the will and sends her to live with Mrs. Chichester for her education. Peg soon finds that Alaric needs to marry her, but she wants Gerald who is engaged to Ethyl who wants Brent whose wife will not divorce him."
Penthouse,"Crime, Mystery, Romance","Racketeer Tony Gazotti is thankful that lawyer Jackson Durant helps him beat a murder rap, but Durant just does it for the thrill of it and refuses payment. Durant's defense of mobsters causes his firm to disown him and his girlfriend Sue to leave him. But when young Tom Siddall, Sue's new boyfriend, is framed for a murder, she is the first to come asking for Durant's help. Durant uses Gazotti's information network and the help of new girlfriend Gertie Waxted to find that rival gangster Jim Crelliman is involved in the framing of Siddall. When Durant sends Gertie to Crelliman's apartment in a bid to blow open the case, she is walking on thin ice."
The Pharmacist,"Comedy, Crime, Drama, Romance","Hella is around 30 and works in a pharmacy. She is waiting for the right man to step into her life, but as she has a certain affinity for losers, she is kind of disillusionized. When she gets to know Levin, a dentist student who likes cars most, her dreams seem to come true. Levin has a very rich grandfather who likes her at first glance. The old man thinks of changing his last will to the condition that Levin has to marry Hella in order to inherit his fortunes. Like in a fairy-tale the door to a new life opens for Hella, but can she take it?"
The Drug Store Cowboy,"Action, Comedy, Romance, Western",N/A
Popeye the Sailor,"Animation, Comedy, Family, Romance","The continuing animated adventures of Olive Oyl, Wimpy, Swee'pea and Popeye."
Private Detective,"Action, Adventure, Comedy","Private detective ""Jinx"" Wilsnow is working on the case of a divorcée who is accused of murdering her ex-husband. She and police detective Jim Rickey, working on the same crime, cross and criss-cross each other's path to the extent they decide more progress would be made if they work together."
The Prizefighter and the Lady,"Comedy, Crime, Romance","Steve is just a heavy duty bartender when Edwin J. Bennett, known as the Professor, starts training him for the ring. While doing road work, he is almost killed by a speeding car which crashes into a ditch. In the car is Belle Mercer and her driver. Steve takes Belle to a farmhouse and is smitten by her, but she is Willie Ryan's Girl. The fight is a breeze and later, Steve again meets Belle with Willie. That night, Steve and Belle disappear and return married, much to the disappointment of Ryan. Then Steve starts training in ernest and is 19 for 19 in the ring. However, he has an eye for the women and an expanding ego to match."
Queen Christina,"Biography, Drama, History, Romance","Queen Christina of Sweden is a dominant European ruler in the 17th century, and has never thought of romance. However, she accidentally and secretly falls in love with an emissary from Spain, even though a marriage between the two seems out of the question."
Rafter Romance,"Comedy, Romance","A man and a woman share an apartment on a shift basis, never seeing each other; she dislikes him until they actually meet."
Riders of Destiny,"Music, Romance, Western",Kincade controls the area's water supply and is about to force the ranchers into contracts at exorbitant rates. Government Agent Saunders has a plan that will open up the lost river and dry up Kincade's supply. So he gets the ranchers to insist on a clause that Kincade's land will revert to the public if he fails to deliver water.
Roman Scandals,"Comedy, Fantasy, Musical, Romance","A kind-hearted young man is thrown out of his corrupt home town of West Rome, Oklahoma. He falls asleep and dreams that he is back in the days of olden Rome, where he gets mixed up with court intrigue and a murder plot against the Emperor."
Sagebrush Trail,"Action, Drama, Romance, Western","Imprisoned for a murder he did not commit, John Brant escapes and ends up out west where, after giving the local lawmen the slip, he joins up with an outlaw gang. Brant finds out that 'Jones', one of the outlaws he has become friends with, committed the murder that Brant was sent up for, but has no knowledge that anyone was ever put in jail for his crime. Willing to forgive and forget, Brant doesn't realize that 'Jones' has not only fallen for the same pretty shopgirl Brant has, but begins to suspect that Brant is not truly an outlaw."
Secret of the Blue Room,"Drama, Horror, Mystery, Romance, Thriller","Twenty years after 3 murders occur in a castle's ""blue room"", three men who each want to marry a beautiful girl decide to spend a night in the room to prove their bravery to her."
Secrets,"Short, Drama, Romance","One night, five teens and a deck of cards. Deception. Revenge. Sex. ...and it's all about to explode."
Ruby Red,"Drama, Fantasy, Mystery, Romance, Sci-Fi","Gwendolyn Shepherd is actually a very normal 16-year-old teen. What's annoying is that her family definitely has a tad too many secrets. They all have to do with the time-travel gene that is passed down in the family. Everyone is certain that Gwen's cousin Charlotte has the gene, and so everything is all Charlotte, all the time. Until the day Gwen, out of the clear blue sky, suddenly finds herself in London at the end of the 19th century. She knows right away that she, and not Charlotte, was born to be a time traveler - even if she could certainly do without it. Just as she could do without Charlotte's arrogant boyfriend Gideon de Villiers, with whom she now has to forge an alliance in order to clear up the biggest secret of her family history. One thing is clear: she will do everything possible to solve the ancient mysteries. What isn't clear is that one should not fall in love between the times. For that really makes things complicated!"
She Done Him Wrong,"Comedy, Drama, History, Musical, Romance","New York singer and nightclub owner Lady Lou has more men friends than you can imagine, unfortunately one of them is a vicious criminal who's escaped and is on the way to see ""his"" girl, not realizing she hasn't exactly been faithful in his absence. Help is at hand in the form of young Captain Cummings, a local temperance league leader, though."
A Shriek in the Night,"Crime, Mystery, Romance, Thriller",Pat Morgan and Ted Kord are rival newspaper reporters always trying to outscoop each other. They join together to solve a series of murders being committed in an apartment building.
The Song of Songs,"Drama, Romance","Country orphan Lily goes to Berlin to stay with her tippling aunt, and soon meets Richard, handsome sculptor across the street. Persuaded half-reluctantly to pose for Richard, her physical charms (shown as fully as 1933 mores permitted) soon melt away his 'strictly business' attitude, and they become lovers. But Richard, wanting his freedom, connives at her marriage to his wealthy client Baron von Merzbach... whose household includes a jealous former mistress and a susceptible farm manager. Has Richard still a role to play in her life?"
State Fair,"Comedy, Drama, Musical, Romance","Farm family Frake, with discontented daughter Margy, head for the Iowa State Fair. On the first day, both Margy and brother Wayne meet attractive new flames; so does father's prize hog, Blue Boy. As the fair proceeds, so do the romances; must lovers separate when the fair closes?"
