title,genre,plot
The Enchanted Drawing,"Animation, Short, Comedy","An easel holds a sketch pad upon which Blackton draws a cartoonish face of a man. He makes the cartoon react by giving it wine, cigars, and a top hat. Objects magically go into the drawing--becoming part of the cartoon image, and out of the drawing--becoming physical objects again."
The Countryman's First Sight of the Animated Pictures,"Short, Comedy","A satire on the way that audiences unaccustomed to the cinema didn't know how to react to the moving images on a screen - in this film, an unsophisticated (and stereotypical) country yokel is alternately baffled and terrified, in the latter case by the apparent approach of a steam train"
The Story of a Crime,"Animation, Short",Noises at night made by rude neighbors cause the very friendly and peaceful Vasily Mamin to commit a crime. The cartoon serves as an explanation as of why such a brutal crime is committed at the beginning. It is a flashback at how Mamin spent his last 24 hours before the crime.
History of a Crime,"Short, Crime, Drama","La cella di un condannato a morte. L'uomo sta dormendo e sogna il passato che lo ha portato in prigione : vita frenetica, cattive amicizie, alcolismo, l'assassinio di un cassiere di banca. Alla fine sogna di arrampicarsi sulla forca, ed improvvisamente si risveglia..."
Uncle Josh at the Moving Picture Show,"Comedy, Short","A side-splitter. Uncle Josh occupies a box at a vaudeville theatre, where a moving picture show is going on. First a dancer appears on the screen. Uncle Josh jumps to the stage and endeavors to make lover to her, but she flits away, and immediately there appears upon the screen the picture of an express train running at sixty miles an hour. Uncle Josh becomes panic-stricken, and fearing to be struck by the train, makes a dash for his box. He is no sooner seated than a country couple appear upon the screen, at a well. Before they pump the pail full of water they indulge in a love-making scene. Uncle Josh thinks he recognizes his own daughter, jumps upon the stage, removes his coat and prepares to chastise the lover, and grabbing the moving picture screen he hauls it down, and to his great surprise finds a kinetoscope operator in the rear. The operator is made furious by Uncle Josh interrupting his show, and grappling with him they roll over and over upon the stage in an exciting encounter."
The Great Train Robbery,"Short, Action, Crime, Western",Among the earliest existing films in American cinema - notable as the first film that presented a narrative story to tell - it depicts a group of cowboy outlaws who hold up a train and rob the passengers. They are then pursued by a Sheriff's posse. Several scenes have color included - all hand tinted.
Life of an American Fireman,"Short, Action","Porter's sequential continuity editing links several shots to form a narrative of firemen responding to a house fire. They leave the station with their horse drawn pumper, arrive on the scene, and effect the safe rescue of a woman from the burning house. But wait, she tells them of her child yet asleep in the burning bedroom . . ."
The Music Lover,"Short, Comedy, Music","A marching band appears, and the band-leader prepares to give them the music for the song he wants them to play. He has prepared a large staff above their heads, and he now creates notes by making duplicates of his own head, placing them on the staff, and completing the notes with sticks and other implements taken from the band members. When he has finished, the players attempt to perform the music that has been written in such an unusual fashion."
Fairyland: A Kingdom of Fairies,"Short, Adventure, Fantasy","At the royal court, a prince is presenting the princess whom he is pledged to marry, when a witch suddenly appears. Though driven off, the witch soon returns, summons some of her servants, and carries off the princess. A rescue party is quickly organized, but the unfortunate captive has been taken to a strange, forbidding realm, from where it will be impossible to rescue her without some special help."
The Land Beyond the Sunset,"Short, Drama, Fantasy","Thanks to the Fresh Air Fund, a slum child escapes his drunken mother for a day's outing in the country. Upon arriving, he and the other children are told a story about a mythical land of no pain. Rather then return to the slum at day's end, the lad seeks to journey to that beautiful land beyond the sunset."
The Electric Hotel,"Animation, Short, Fantasy","According to the rapid strides that electricity is making in this wonderful age we are not surprised to see in this picture an ideal hotel of the future in which everything is done by electricity. We see a couple entering the hostelry and, after registering, the clerk touches a button and away goes the baggage on to the elevator, which stops at the proper floors and the grips enter the room without the aid of anyone. Many amusing incidents follow. Finally they pay the penalty for all the latest improvements, for something goes wrong with the electric plant in the cellar and mixes the whole place up. We see all the furnishings start to turn in all directions and the unfortunate guests find themselves in the midst of the affray. They manage to get to the door and are tumbled out and rolled across the street till out of the reach of the magnetic force, where they pick up their belongings and hurry home, vowing never to enter another electric hotel."
Humorous Phases of Funny Faces,"Animation, Short, Comedy","Considered the first truly animated movie (or at least the first verifiable, surviving animation), this film is based on the lightning-sketch, a popular vaudeville act. The artist (Blackton) draws a series of faces on a blackboard, which then seem to take on a life of their own."
The 400 Tricks of the Devil,"Short, Fantasy",Two travellers are tormented by Satan from inn to inn and eventuly experience a buggy ride through the heavens courtesy of the Devil before he takes one of them down to hell and roasts him on a spit.
The Red Spectre,"Short, Fantasy","In a strange grotto deep in the bowels of the earth a coffin uprights itself, dances, then opens, and out steps a demonic magician with skeletal face, horns, and cape. He wraps two women (who appear to be in a trance) in fabric, levitates them, and causes them to burst into flames and disappear. As he gathers their ashes in a pitcher a Good Spirit [a young woman who resembles Peter Pan] appears, shakes her head No, and reveals the ""souls"" of the two women in a secret compartment deeper within the cave. The Good Spirit vanishes in a puff of smoke. The magician then produces 3 glass bottles on pillars, takes them downstage close to the camera, and reveals 3 tiny women in them; one woman beats a tambourine while the other two sway. The magician pours ashes (?) into the bottles, but the Good Spirit reappears and makes these trapped figures disappear in a flash, angering the magician, who chases her away. He makes an easel appear. There is an odd sort of screen on it bearing the Pathe rooster logo. The magician then invents channel-surfing, causing three different ""shows"" to appear on the screen in rapid succession. The Good Spirit reappears and causes this strange television set to vanish, but the magician creates two more in turn, each more elaborate than the last, with various images of persons and dogs flashing across their screens. Finally, the Good Spirit reveals to the evil magician an area within the cave where there are four pillars and a tableau of distinguished-looking ladies (goddesses?). She takes the magician downstage, forces him to the ground, pours a pitcher of something on him (ashes? Holy water?) and turns him into a lifeless skeleton, which she reveals to the camera. Three tall flames appear in the foreground, and the film is over."
The Adventures of Dollie,"Action, Short","On a warm and sunny summer's day, a mother and father take their young daughter Dollie on a riverside outing. A gypsy basket peddler happens along, and is angered when the mother refuses to buy his wares. He attacks mother and daughter but is driven off by the father. Later the gypsy sneaks back and kidnaps the girl. A rescue party is organized but the gypsy conceals the child in a 30 gallon barrel which he precariously places on the tail of the wagon. He and his gypsy-wife make their getaway by fording the river with the wagon. The barrel, with Dollie still inside, breaks free, tumbling into into the river; it starts floating toward the peril of a nearby waterfall . . ."
The Assassination of the Duke de Guise,"Short, History, Drama","France, at the end of the sixteenth century. Henry III decided to eliminate his rival, the Duke of Guise, and, therefore, calls him in the castle of Blois. The mistress of the duke, warned of the King's intentions, informs him, but the noble, sure of his own authority, went there anyway. In Cabinet-Vieux castle Duke is stabbed by guards of the King, while he attends the murder hidden behind the curtains. Eventually, Henry III does burn the duke body to discard."
Rescued from an Eagle's Nest,"Action, Short","A woodcutter says good-bye to his wife and child, and then goes off to work. After he has left, the mother leaves the child outside their cabin to play. Suddenly, an eagle swoops down and carries off the child. When the mother realizes what has happened, she runs to tell her husband. He and the other lumberjacks immediately set out to find and rescue the child."
A Corner in Wheat,"Short, Drama","A greedy tycoon decides, on a whim, to corner the world market in wheat. This doubles the price of bread, forcing the grain's producers into charity lines and further into poverty. The film continues to contrast the ironic differences between the lives of those who work to grow the wheat and the life of the man who dabbles in its sale for profit."
The Lonely Villa,"Short, Crime, Drama","A gang of thieves lure a man out of his home so that they can rob it and threaten his wife and children. The family barricade themselves in an interior room, but the criminals are well-equipped for breaking in. When the father finds out what is happening, he must race against time to get back home."
"Princess Nicotine; or, The Smoke Fairy","Comedy, Short, Fantasy","A smoker falls asleep, and two mischievious fairies play with his pipe. He discovers this, and imprisons them in a cigar box. He removes a flower from the box, which contains a fairy smoking a cigarette. Next, he leaves briefly while his smoking paraphenalia clears itself from the table and the flower reassembles itself into a cigar. He lights the cigar, then breaks a bottle containing the fairy, who interacts with him in various ways reeling from his cigar smoke, building a bonfire that he extinguishes, etc."
"Princess Nicotine; or, The Smoke Fairy","Comedy, Short, Fantasy","A smoker falls asleep, and two mischievious fairies play with his pipe. He discovers this, and imprisons them in a cigar box. He removes a flower from the box, which contains a fairy smoking a cigarette. Next, he leaves briefly while his smoking paraphenalia clears itself from the table and the flower reassembles itself into a cigar. He lights the cigar, then breaks a bottle containing the fairy, who interacts with him in various ways reeling from his cigar smoke, building a bonfire that he extinguishes, etc."
Those Awful Hats,"Comedy, Short","A gentleman with a top hat, and a series of women with ever more ludicrous hats enter a movie theatre. They refuse to remove them, until a giant bucket forcibly removes one hat. All but one woman then remove their hats, and the bucket returns to remove the woman."
The Woman Always Pays,"Short, Drama","At a tramcar in Copenhagen the piano teacher Magda Vang meets the young man Knud Svane, who falls in love with her. She is invited to spend the summer with him and his parents at the ..."
The Woman Always Pays,"Short, Drama","At a tramcar in Copenhagen the piano teacher Magda Vang meets the young man Knud Svane, who falls in love with her. She is invited to spend the summer with him and his parents at the ..."
The Unchanging Sea,"Drama, Short","In this story set at a seaside fishing village and inspired by a Charles Kingsley poem, a young couple's happy life is turned about by an accident. The husband, although saved from drowning..."
The Wizard of Oz,"Adventure, Family, Fantasy, Musical","In this charming film based on the popular L. Frank Baum stories, Dorothy and her dog Toto are caught in a tornado's path and somehow end up in the land of Oz. Here she meets some memorable friends and foes in her journey to meet the Wizard of Oz who everyone says can help her return home and possibly grant her new friends their goals of a brain, heart and courage."
The Wonderful Wizard of Oz,"Adventure, Fantasy, Short","Chased off by the antics of Hank the Mule, Dorothy ends up in her cornfield, where she realizes her family's Scarecrow is alive. She helps him down and he takes a tumble on the turnstyle. A cyclone soon arrives and leaves Dorothy, Scarecrow, Toto and Hank spinning around on a haystack, with Imogene the Cow flying soon after. Soon after their arrival, the Wizard of Oz issues a public decree that he is a humbug, to make sure no one ever finds out. Glinda pops up out of the background and transforms Toto into a man in a bulldog suit to serve as a better protector for Dorothy. Then they encounter the Tin Woodman, the Cowardly Lion, and Eureka. Nevertheless, she is captured by Momba, the Wicked Witch of the West (suggesting Baum thought the other witches were Mombe, Mombo, and Mombu, in keeping with the council in _Queen Zixi of Ix_) and her flying lizards and soldiers. Dorothy defeats Momba, and they arrive at the Emerald City just in time for the Wizard's going away party."
The Revenge of a Kinematograph Cameraman,"Animation, Short, Comedy","A jilted husband takes his revenge by filming his wife and her lover and showing the result at the local cinema. This was one of Starewicz' first animated films, and stars very realistic animated beetles."
Little Nemo: Adventures in Slumberland,"Animation, Adventure, Drama, Family, Fantasy","A young boy whose dreams transcend reality is sucked into his own fantasy, which is everything he has dreamed of until he unleashes a century old secret that may not only destroy this perfect dream world but reality itself."
The Lonedale Operator,"Short, Drama, Romance","When her father becomes ill, a young woman takes over the telegraph at a lonely western railroad station. She soon gets word that the next train will deliver the payroll for a mining company. The train brings not only the money, but a pair of ruffians bent on stealing it. All alone, she wires for help, and then holds off the bad guys until it arrives."
Dante's Inferno: An Animated Epic,"Animation, Action, Adventure, Drama, Fantasy, Horror","After fighting in the Crusades for three years, Dante rides back home to his family estate to reunite with his beloved Beatrice and his father. Dante sees a rider following him, but out of the blue, the man vanishes with no trace. When he arrives home, he sees the servants slaughtered, his father murdered and Beatrice near death. When her soul is going to the heaven, Lucifer takes Beatrice to Hell, telling her that Dante has betrayed her. Dante meets Virgil who guides him to Hell, and the poet explains that Beatrice had a bet with Lucifer that Dante would be faithful to her while in the holy war. In return, Lucifer would protect Dante and bring him back home safe and sound. Upon arrival in Hell, Dante learns that he needs to cross nine circles to reach Lucifer ad on his painful journey, he discovers who doomed his family to suffer in Hell."
How a Mosquito Operates,"Animation, Comedy, Short","A hungry mosquito spots and follows a man on his way home. The mosquito slips into the room where the man is sleeping, and gets ready for a meal. His first attempts startle the man and wake him up, but the mosquito is very persistent."
The Musketeers of Pig Alley,"Short, Crime, Drama","A young wife and her musician husband live in poverty in a New York City tenement. The husband's job requires him to go away for for a number of days. On his return, he is robbed by the neighborhood gangster. Sometime later, an unrelated mob shoot-out ensues. The husband happens upon the melee, recognizing the crook who robbed him. Can the husband retrieve his money?"
The New York Hat,"Short, Drama","When Mrs. Harding dies, she leaves a mysterious letter to her pastor. The note tells how her cold, miserly husband worked her to death. She asks the pastor to administer a small trust which she has bequeathed her daughter so that the girl might enjoy some finery which her father has always denied her. The village milliner carries the latest hat styles from New York, one of which has caught the girl's fancy. The pastor, loyal to the dying mother's wishes, buys the young lady the hat. Soon gossip spreads through the village..."
An Unseen Enemy,"Crime, Short, Thriller","The physician's death orphans his two adolescent daughters. Their older brother is able to convert some of the doctor's small estate to cash. But it is late in the day, and with the banks closed he stores the money in his father's household safe. The slatternly housekeeper, aware of the money, enlists a criminal acquaintance to crack the safe. She attempts to get into the adjacent room where the sisters tremble in fear, but finds that the door is locked. The drunken housekeeper menaces them by brandishing a gun through a hole in the wall. But the resourceful girls use the telephone to call their brother who has returned to town. He gets the message and organizes a rescue party."
Bangville Police,"Short, Comedy","At a farm near Bangville, the young daughter see strangers in the barn. She quickly rushes to the house and calls the police. The police engage in a haphazard rush across the countryside to get there in time."
Fantômas: In the Shadow of the Guillotine,"Crime, Drama","Fantômas makes it as the emperor of Crime. First is the robbery at the Royal Palace Hotel. Then he abducts Lord Beltham. As Fantômas' fame increases actor Valgrand creates the rôle of public enemy No.1 on stage. Eventually Inspector Juve, with a little help from Fandor, arrests Fantômas and he is soon sentenced to die on the guillotine. But..."
Fantomas: The Man in Black,"Crime, Drama","In Part Two of Louis Feuillade's 5 1/2-hour epic follows FantÃ'mas, the criminal lord of Paris, master of disguise, the creeping assassin in black, as he is pursued by the equally resourceful Inspector Juve."
Fantômas: The Dead Man Who Killed,"Crime, Drama, Mystery","After a body disappears from inside the prison, a series of crimes take place, all seemingly by the dead man. With Juve presumed dead, Fandor must investigate alone. Will Fantomas finally be brought to justice?"
The Mothering Heart,"Short, Drama","A young couple struggle to get ahead, the wife always assuaging the troubles of her melancholy husband. As he climbs the ladder of success, he abandons the homely values and takes up with another woman. His wife leaves him, returning to her mother's home where she bears a child. When the husband is abandoned by his concubine, remorse drives him to find his wife..."
The Student of Prague,"Drama, Fantasy, Horror, Romance","A poor student rescues a beautiful countess and soon becomes obsessed with her. A sorcerer makes a deal with the young man to give him fabulous wealth and anything he wants, if he will sign his name to a contract. The student hurriedly signs the contract, but doesn't know what he's in for."
Suspense,"Short, Drama, Thriller","An isolated house in deserted area is too remote for a servant, who leaves a note, quietly exits the back door, and puts the key under the mat. Alone in the house is a mother and her infant. A tramp watches the servant leave, then begins to skulk. The woman sees him outside as he discovers the latchkey. She phones her husband, who's working in town, and he jumps into a car idling in front of his office. He races toward home while the car's owner (and the police) are in pursuit. The tramp grabs a knife and heads up the stairs toward the defenseless woman. Can the husband elude the police long enough to rescue her or will the tramp have his way?"
Traffic in Souls,"Crime, Drama","An early social commentary on the New York sex trade, this film attempts to sensationalize prostitution, especially forced prostitution. Featuring a number of characters and sub-plots, the film is presented as if it were a documentary."
The Avenging Conscience: or 'Thou Shalt Not Kill',"Crime, Drama, Horror","Thwarted by his despotic uncle from continuing his love affair, a young man turns to thoughts of murder. Experiencing a series of visions, he sees murder as a normal course of events in life and kills his uncle. Tortured by his conscience, his future sanity is uncertain as he is assailed by nightmarish visions of what he has done."
The Telltale Heart,"Drama, Short","An insane man first loves then grows to hate his neighbor, an old man whose penetrating gaze unnerves the insane man. He plans a perfect crime and executes it one night. The next day, two officers knock on the insane man's door, investigating a shriek heard in the night. The insane man invites them in, answers their questions, and submits to an examination of his eyes by one of the officers, who proclaims him innocent. The insane man invites them to stay and relax awhile, then regales them with his theories of crime. His heart begins to beat louder. Angles on the set are skewed to suggest the man's internal disarray."
A Rainy Day,"Drama, Family, Mystery, Thriller","A RAINY DAY is the story of a go-getter, an achiever. Aniket is an upwardly mobile man who wants to get rich quick. He would resort to any means in order to get what he wants - even bribe people, entice them with immoral 'gifts;' and if it comes to that- bump off people who get in his way! Aniket's wife Mugdha does not approve of his deeds. Aniket is aware of that. It is probably this disapproval which is gnawing at the back of his conscience which gives rise to this story. He has never confided in Mugdha about his deeds directly as he knows how she looks at such things and totally aware of her virtues in life. When life seems to be going fine, suddenly one morning Aniket discovers that Mugdha has got wind of what he did in his childhood. Aniket wonders how she knows this, but brushes it off, thinking, ""Maybe I told her myself some time."" At this time Mugdha is pregnant and Aniket wonders if this condition has anything to do with her extra sensitivity. Gradually this phenomenon starts repeating itself. Mugdha tells him each and everything in detail, what he did on various occasions. She seems to know the vivid details of all his deeds. Media gets wind of her 'extra-sensory' powers and Aniket's story gets splashed in the Press and across channels. Aniket is livid. Aniket is intrigued at first, then irritated and angry and later terrified. As it happens quite often, he is on the way of becoming a neurotic wreck. Mugdha's disapproval and anger towards this also goes on mounting and finally she decides to leave him."
Between Showers,"Short, Comedy","Charlie and another man compete in trying to help a young lady cross a muddy street. The rival finds a wooden plank which Charlie takes from him. They fight over an umbrella belonging to the rival. A policeman settles the dispute, ultimately arresting the rival. An innocent tramp is pushed into the lake."
A Busy Day,"Short, Comedy","Charlie plays a woman, jealous over her husband's interest in another woman. She gets in the way of a cameraman, knocks over a director and a policeman, and gets thrown into a crowd of spectators at a military parade. She attacks her husband and his new flame. The husband throws her off the pier into the harbor."
Caught in a Cabaret,"Short, Comedy","Given an hour off from his job as a cafe waiter, Charlie rescues Mabel from a thug, is given an invitation to her home, and arrives presenting a card which falsely identifies him as the Greek Ambassador. Before he can get back to work, her parents invite him to a future garden party. Her jealous lover has Charlie followed back to the cafe. Charlie is a hit at the garden party but, as he leaves to return to work, the rival invites everyone to go with him to the cafe so Charlie will be exposed."
In the Park,"Short, Comedy","A tramp steals a girl's handbag, but when he tries to pick Charlie's pocket loses his cigarettes and matches. He rescues a hot dog man from a thug, but takes a few with his walking stick. When the thief tries to take some of Charlie's sausages, Charlie gets the handbag. The handbag makes its way from person to person to its owner, who is angry with her boyfriend who didn't protect her in the first place. The boyfriend goes to throw himself in the lake in despair. Charlies helps him."
Caught in the Rain,"Short, Comedy","When a married couple become separated in the park, Charlie takes up with the lady and is beat up when her husband rejoins her. He takes a room in their hotel, and she sleepwalks into his room so that when her husband returns from his walk he must go out again to look for her. Charlie returns the lady to her room but must climb out onto the window ledge in a downpour."
Cinderella,"Drama, Family, Fantasy, Romance","A girl named Ella (Cinderella) has the purest heart living in a cruel world filled with evil stepsisters and an evil stepmother out to ruin Ella's life. Ella comes one with her pure heart when she meets the prince and dances her way to a better life with glass shoes, and a little help from her fairy godmother, of course."
"Cruel, Cruel Love","Short, Comedy","A rich lord loves a girl. A maid who has seen the two accosts the lord in a park and embraces him. This is seen by the girl who calls off their relationship. The lord decides to commit suicide, but the butler replaces the poison with water. The girl, her love now restored, rushes to what she thinks is the lord's deathbed."
Dough and Dynamite,"Comedy, Short",Charlie and another waiter must become bakers when the regular bakers go out on strike. The strikers put dynamite in a piece of bread which is delivered to the cake counter. It winds up in the oven and explodes.
The Cook,"Comedy, Short","In an attempt at greater efficiency, the chef of a fancy oceanside restaurant and his assistant wreak havoc in the establishment. Adding to the complications is the arrival of a robber."
The Face on the Barroom Floor,"Short, Comedy",The plot is a satire derived from Hugh Antoine D'Arcy's poem of the same title. The painter courts Madeleine but loses to the wealthy client who sits for his portrait. The despairing artist...
The Fatal Mallet,"Short, Comedy","Charlie throws a brick at a man and woman and gets it thrown back at him. The rivals fight. The lady leaves with a third suitor. Charlie finds a wooden mallet with which he subdues both rivals, locking them in a barn. He kicks the lady who instantly falls for him."
Fantômas: The False Magistrate,"Crime, Drama","Fantômas has been arrested and is jailed in Brussels, but inspector Juve wants him arrested and sentenced for all his crimes in France. Thus Juve settles Fantômas' escape so he can be traced to his gang's, in Saint-Calais - France, where apaches Paulet and Ribonard have just robbed the diamonds of the broke Marquis de Tergall. On his way Fantômas kills justice Pradier and decides to go under this disguise when he finds that Pradier had just been appointed to Saint-Calais' court."
Gentlemen of Nerve,"Short, Comedy","Mabel and her beau go to an auto race and are joined by Charlie and his friend. As Charlie's friend is attempting to enter the raceway through a hole, the friend gets stuck and a policeman shows up. Charlie sprays the policeman with soda until he friends makes it through the hole. In the grandstand, Mabel abandons her beau for Charlie. Both Charlie's friend and Mabel's are arrested and hauled away."
Gertie the Dinosaur,"Animation, Short, Comedy","Winsor Z. McCay bets another cartoonist that he can animate a dinosaur. So he draws a big friendly herbivore called Gertie. Then he get into his own picture. Gertie walks through the picture, eats a tree, meets her creator, and takes him carefully on her back for a ride."
Gertie the Dinosaur,"Animation, Short, Comedy","Winsor Z. McCay bets another cartoonist that he can animate a dinosaur. So he draws a big friendly herbivore called Gertie. Then he get into his own picture. Gertie walks through the picture, eats a tree, meets her creator, and takes him carefully on her back for a ride."
Getting Acquainted,"Short, Comedy","Charlie and his wife are walking in the park when they encounter Ambrose and his wife. The partners become fond of their counterparts and begin chasing each other around. A policeman looking for a professional Don Juan becomes involved, as does a Turk."
The Golem,"Fantasy, Horror","In 16th-century Prague, a rabbi creates the Golem - a giant creature made of clay. Using sorcery, he brings the creature to life in order to protect the Jews of Prague from persecution."
His Favorite Pastime,"Short, Comedy",Charlie gets into a fight at his regular bar and finally crawls out under the door. He then boards a streetcar and follows a beautiful lady in a taxi. He breaks into her home. Her husband comes finds him trying to seduce his wife.
His Musical Career,"Short, Comedy","Charlie and his partner are to deliver a piano to 666 Prospect St. and repossess one from 999 Prospect St. They confuse the addresses. The difficulties of delivering the piano by mule cart, and most of the specific gags, appeared later in Laurel and Hardy's ""The Music Box""."
His New Profession,"Short, Comedy","Charlie meets a couple and agrees to care for the man's crippled uncle. After the couple breaks up the man's new girl drops some eggs which Charlie slips on while trying to control the wheelchair. Charlie sets up the uncle near another wheelchair on a jetty, from which he lifts a beggar's cup and ""invalid"" sign. These he places with the uncle, and money begins to roll in. Charlie takes the money and buys himself a drink. Returning, he gets to know the abandoned young woman. After pushing the uncle and his chair into the drink and battling the beggar and two policemen (one of whom arrests the uncle), Charlie beats up his rival and gets the girl."
His Prehistoric Past,"Short, Comedy","Charlie dreams he is in the stone age. There King Low-Brow rules a harem of wives. Charlie, in skins and a bowler, falls in love with the king's favorite wife, Sum-Babee. During a hunting trip the king is pushed over a cliff. Charlie proclaims himself king, but Ku-Ku discovers the real king alive. They return to find Charlie and Sum- Babee together."
His Trysting Place,"Short, Comedy","Charlie's wife sends him to the store for a baby bottle with milk. Elsewhere, Ambrose offers to post a love letter for a woman in his boarding house. The two men meet at a restaurant and each takes the other's coat by mistake. Charlie's wife thinks he has a lover; Ambrose's believes he has an illegitimate child."
The Ladies Man,Comedy,"Because of his salacious language, late-night radio advice-show host Leon Phelps, along with his sweet and loyal producer Julie, is fired from his Chicago gig. They can't find another job. About that time, two things happen: he gets a letter from a wealthy former lover who offers to take care of him (but she doesn't sign her real name, so Leon, an inveterate Casanova, has no idea who she is), and a group of angry cuckolds, all of whom have surprised their wives in flagrante delicto with Leon (who has a distinctive tattoo on his booty), are closing in, armed and dangerous. Can he find the sugar mommy and escape the wrath of the mob of husbands? What about Julie?"
